,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
5,1,DZA,Algeria,2006,0,,0.00,0,71.1582,71.1582,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1830-1877-French coins, 1878-1964-Alegrian franc, 1964-present-dinar.",AAXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS end-of-period exchange rate; alt2 series is pick's parallel end-of-period exchange rate; ,0,,0,0,,0,,2.300,1,0,0,354,82,40969443,Africa,Algeria,DZA,609400,610,Russia,Putin,,Algeria,,10.3.2006,,President Vladimir Putin made an official visit to the People's Democratic Republic of Algeria,,,http://en.kremlin.ru/events/president/trips/45584,2006
9,1,DZA,Algeria,2010,0,,0.00,0,74.9437,74.9437,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1830-1877-French coins, 1878-1964-Alegrian franc, 1964-present-dinar.",AAXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS end-of-period exchange rate; alt2 series is pick's parallel end-of-period exchange rate; ,0,,0,0,,0,,3.900,1,0,0,353,82,40969443,Africa,Algeria,DZA,609400,481,Russia,Dmitry Medvedev,,Algeria,,6.10.2010,,Official visit to Algeria,,,http://en.kremlin.ru/events/president/trips/9167,2010
24,2,AGO,Angola,2009,0,,0.00,0,89.398,79.32816667,,78.003,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1693-1926-escudo Portugal, 1926-1958-angolar, 1958-1977- escudo Angola, 1977-present-kwanza",AOXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS official average exchange rate; alt2 series is pick's parallel end-of-period exchange rate; alt3 series is RR-GFD market end-of-period exchange rate,0,,0,0,,0,,13.700,1,1,0,336,74,29310273,Africa,Angola,AGO,189000,527,Russia,Dmitry Medvedev,,Angola,,26.6.2009,,Dmitry Medvedev has made an official visit to Angola,,,http://en.kremlin.ru/events/president/trips/4897,2009
41,3,ARG,Argentina,2010,0,,0.00,0,3.969,3.896295154,,4.07,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",0,,0,1,,0,0,10.461,1,0,0,119,9,44293293,South America,Argentina,ARG,879400,502,Russia,Dmitry Medvedev,,Argentina,,15.4.2010,,Dmitry Medvedev met with Russian and Argentine business community members,,,http://en.kremlin.ru/events/president/trips/7463,2010
45,3,ARG,Argentina,2014,0,,0.00,0,8.5402,8.075275993,,12.78,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",0,,1,1,,1.06,0,0.000,1,1,0,118,9,44293293,South America,Argentina,ARG,879400,403,Russia,Putin,,Argentina,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46238,2014
56,4,AUS,Australia,2007,0,,0.00,0,1.13430127,1.141943588,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0,,0,0,,0,0,2.300,1,0,0,762,137,23232413,Oceania,Australia,AUS,1189000,574,Russia,Putin,,Australia,,7.9.2007,,During his official visit to Australia Vladimir Putin met with Australian Prime Minister John Howard,,,http://en.kremlin.ru/events/president/trips/45730,2007
64,4,AUS,Australia,2014,0,,0.00,0,1.22,1.224289912,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0,,0,0,,0,0,2.500,1,1,0,761,137,23232413,Oceania,Australia,AUS,1189000,393,Russia,Putin,,Australia,,14.11.2014,,Interview to TASS News Agency,,,http://en.kremlin.ru/events/president/trips/47028,2014
67,5,AUT,Austria,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,2.300,1,0,0,604,114,8754413,Europe,Austria,AUT,416600,726,Russia,Putin,,Austria,,8.2.2001,,President Vladimir Putin had negotiations with Austria's President Thomas Klestil,,,http://en.kremlin.ru/events/president/trips/45705,2001
70,5,AUT,Austria,2004,0,,0.00,0,0.73,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,2.000,1,0,0,603,114,8754413,Europe,Austria,AUT,416600,653,Russia,Putin,,Austria,,10.7.2004,,"Vladimir Putin arrived in Vienna, where the state funeral of the Federal President of the Austrian Republic Thomas Klestil was held",,,http://en.kremlin.ru/events/president/trips/45513,2004
80,5,AUT,Austria,2014,0,,0.00,0,0.82,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,1.500,1,0,0,602,114,8754413,Europe,Austria,AUT,416600,407,Russia,Putin,,Austria,,24.6.2014,,Russian-Austrian talks,,,http://en.kremlin.ru/events/president/trips/46066,2014
83,6,BEL,Belgium,2001,0,,0.00,0,1.13,1.1231,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.400,1,0,0,724,129,11491346,Europe,Belgium,BEL,508600,709,Russia,Putin,,Belgium,,1.10.2001,,"President Putin arrived in Brussels and met with Guy Verhofstadt, head of the Belgian Government",,,http://en.kremlin.ru/events/president/trips/45713,2001
87,6,BEL,Belgium,2005,0,,0.00,0,0.85,0.844,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.500,1,1,0,721,129,11491346,Europe,Belgium,BEL,508600,623,Russia,Putin,,Belgium,,3.10.2005,,President Vladimir Putin made a official visit to the Kingdom of Belgium,,,http://en.kremlin.ru/events/president/trips/45566,2005
92,6,BEL,Belgium,2010,1,,1.00,0,0.75,0.7473,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.300,1,0,0,719,129,11491346,Europe,Belgium,BEL,508600,469,Russia,Dmitry Medvedev,,Belgium,,8.12.2010,,Visit to Belgium,,,http://en.kremlin.ru/events/president/trips/9741,2010
118,8,BRA,Brazil,2004,0,,0.00,0,2.6536,2.6536,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0,,0,0,,0,0,6.600,1,0,0,214,29,207353391,South America,Brazil,BRA,3081000,643,Russia,Putin,,Brazil,,22.11.2004,,The official welcome ceremony marking President Vladimir Putin's visit to Brazil took place at the Planalto Presidential Palace in the Brazilian capital Brasilia,,,http://en.kremlin.ru/events/president/trips/45541,2004
123,8,BRA,Brazil,2008,0,,0.00,0,2.3362,2.3362,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0,,0,0,,0,1,5.700,1,1,0,213,29,207353391,South America,Brazil,BRA,3081000,542,Russia,Dmitry Medvedev,,Brazil,,25.11.2008,,Dmitry Medvedev on an official visit to Brazil,,,http://en.kremlin.ru/events/president/trips/4568,2008
125,8,BRA,Brazil,2010,0,,0.00,0,1.6858,1.6858,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0,,0,0,,0,0,5.000,1,0,0,212,29,207353391,South America,Brazil,BRA,3081000,501,Russia,Dmitry Medvedev,,Brazil,,16.4.2010,,Dmitry Medvedev met with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/7482,2010
130,8,BRA,Brazil,2014,0,,0.00,0,2.6556,2.6556,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0,,0,0,,0,0,6.300,1,0,0,211,29,207353391,South America,Brazil,BRA,3081000,402,Russia,Putin,,Brazil,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46239,2014
143,9,CAN,Canada,2010,0,,0.00,0,0.9967,1.0009,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1766-1870-British pound sterling, 1870-present Canada dollar",CNXRXDE.,Primary source is GFD market eop; alt1 series is IMF market eop exchange rate,0,,0,0,,0,0,1.800,1,0,0,14,3,35623680,North America,Canada,CAN,1674000,489,Russia,Dmitry Medvedev,,Canada,,27.6.2010,,Meeting with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/8183,2010
169,11,CHL,Chile,2004,0,,0.00,0,555.5,559.83,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Pre- 1851-peso-Spanish monetary system, 1851-1960 peso Chile, 1960-1975-escudo, 1975-present Chile peso",CLXRXDE.,Primary source is GFD market eop; alt1 series is IMF pricipal eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,1.100,1,0,0,127,10,17789267,South America,Chile,CHL,436100,645,Russia,Putin,,Chile,,19.11.2004,,President Vladimir Putin has begun his two-day official visit to Chile with the meeting wih deputies of the Chilean National Congress,,,http://en.kremlin.ru/events/president/trips/45540,2004
182,12,CHN,China,2001,0,,0.00,,8.2766,,,9.3,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,1,0.700,1,0,0,790,139,1379302771,Asia,China,CHN,21140000,707,Russia,Putin,,China,,19.10.2001,,President Vladimir Putin met with Vietnamese Prime Minister Phan Van Khai,,,http://en.kremlin.ru/events/president/trips/45475,2001
183,12,CHN,China,2001,0,,0.00,,8.2766,,,9.3,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,1,0.700,1,0,0,791,139,1379302771,Asia,China,CHN,21140000,719,Russia,Putin,,China,,14.6.2001,,President Vladimir Putin had a meeting with Chinese President Jiang Zemin,,,http://en.kremlin.ru/events/president/trips/48858,2001
188,12,CHN,China,2006,0,,0.00,,7.8065,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,1.500,1,0,0,789,139,1379302771,Asia,China,CHN,21140000,608,Russia,Putin,,China,,14.6.2006,,The heads of state of the Shanghai Cooperation Organisation's member countries met with representatives of the organisation's Business Council,,,http://en.kremlin.ru/events/president/trips/48836,2006
192,12,CHN,China,2010,0,,0.00,,6.59,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,3.300,1,0,0,788,139,1379302771,Asia,China,CHN,21140000,482,Russia,Dmitry Medvedev,,China,,26.9.2010,,Interview to Renmin Ribao,,,http://en.kremlin.ru/events/president/trips/9071,2010
194,12,CHN,China,2012,0,,0.00,,6.2301,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,2.600,1,0,0,786,139,1379302771,Asia,China,CHN,21140000,442,Russia,Putin,,China,,5.6.2012,,Russia and China: New Horizons for Cooperation,,,http://en.kremlin.ru/events/president/trips/15572,2012
196,12,CHN,China,2014,0,,0.00,,6.21,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,2.000,1,0,0,784,139,1379302771,Asia,China,CHN,21140000,394,Russia,Putin,,China,,9.11.2014,,Vladimir Putin has arrived in Beijing,,,http://en.kremlin.ru/events/president/trips/46998,2014
197,12,CHN,China,2014,0,,0.00,,6.21,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,0,2.000,1,0,0,785,139,1379302771,Asia,China,CHN,21140000,410,Russia,Putin,,China,,20.5.2014,,Russian-Chinese talks,,,http://en.kremlin.ru/events/president/trips/21062,2014
198,12,CHN,China,2015,,,,,6.49,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is GFD market eop; alt1 series is Yuan-Nationalist US dollar level; alt2 series is Yuan-Puppet FRB US dollar level; alt3 series is Pick's parallel eop exchange rate.,0,,0,0,,0,,1.400,1,0,0,783,139,1379302771,Asia,China,CHN,21140000,382,Russia,Putin,,China,,2.9.2015,,Vladimir Putin arrived in Beijing,,,http://en.kremlin.ru/events/president/trips/50244,2015
199,12,CHN,China,2016,,,,,6.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is Oxford Economics eop ,,,0,0,,0,,1.800,1,1,0,781,139,1379302771,Asia,China,CHN,21140000,365,Russia,Putin,,China,,3.9.2016,,Vladimir Putin arrived in China,,,http://en.kremlin.ru/events/president/trips/52836,2016
200,12,CHN,China,2016,,,,,6.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th century-1932-tael, 1933-1948-China dollar (around since 1838), 1948-1949-gold yuan, 1949-1955-jen min piao, 1955-present yuan-renmimbi",CHXRXDE.,Primary source is Oxford Economics eop ,,,0,0,,0,,1.800,1,1,0,782,139,1379302771,Asia,China,CHN,21140000,369,Russia,Putin,,China,,24.6.2016,,Vladimir Putin has arrived in China,,,http://en.kremlin.ru/events/president/trips/52277,2016
259,16,DNK,Denmark,2009,1,,0.00,0,5.1901,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-rigsdaler, 1873-present-Krone",DKXRXDE.,Primary source is Oxford Economics eop ,0,,0,0,,0,0,1.300,1,0,0,826,142,5605948,Europe,Denmark,DNK,264800,509,Russia,Dmitry Medvedev,,Denmark,,18.12.2009,,Dmitry Medvedev met with Prime Minister of Lebanon Saad Hariri,,,http://en.kremlin.ru/events/president/trips/6398,2009
260,16,DNK,Denmark,2010,1,,0.00,0,5.6133,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-rigsdaler, 1873-present-Krone",DKXRXDE.,Primary source is Oxford Economics eop ,0,,0,0,,0,0,2.300,1,0,0,825,142,5605948,Europe,Denmark,DNK,264800,497,Russia,Dmitry Medvedev,,Denmark,,26.4.2010,,"Interview to Steffen Kretz, Danish Broadcasting Corporationâs Senior International Editor and Anchor of TV News and Current Affairs Programme",,,http://en.kremlin.ru/events/president/trips/7573,2010
304,19,EGY,Egypt,2005,0,,0.00,0,5.7322,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"pre-1834 Turkish monies, 1834-1885 Egyptian piastre, 1885-present Egyptian pound",EYXRXDE.,Primary source is Oxford Economics eop ,0,,0,0,,0,0,8.800,1,0,0,961,163,97041072,Africa,Egypt,EGY,1105000,631,Russia,Putin,,Egypt,,26.4.2005,,Vladimir Putin has arrived in Egypt on a working visit,,,http://en.kremlin.ru/events/president/trips/45555,2005
310,19,EGY,Egypt,2009,0,,0.00,0,5.4754,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"pre-1834 Turkish monies, 1834-1885 Egyptian piastre, 1885-present Egyptian pound",EYXRXDE.,Primary source is Oxford Economics eop ,0,,0,0,,0,0,16.200,1,0,0,960,163,97041072,Africa,Egypt,EGY,1105000,530,Russia,Dmitry Medvedev,,Egypt,,23.6.2009,,"During his official visit to the Arab Republic of Egypt, President of Russia Dmitry Medvedev held talks with Egyptian President Hosni Mubarak",,,http://en.kremlin.ru/events/president/trips/4891,2009
316,19,EGY,Egypt,2015,,,0.00,0,7.8,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"pre-1834 Turkish monies, 1834-1885 Egyptian piastre, 1885-present Egyptian pound",EYXRXDE.,Primary source is Oxford Economics eop ,0,,0,0,,0,1,11.000,1,0,0,959,163,97041072,Africa,Egypt,EGY,1105000,389,Russia,Putin,,Egypt,,9.2.2015,,Vladimir Putin arrived in Egypt on an official visit,,,http://en.kremlin.ru/events/president/trips/47656,2015
334,21,FIN,Finland,2001,0,,0.00,0,1.13,6.6776,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,1,2.700,1,0,0,897,151,5491218,Europe,Finland,FIN,224137,712,Russia,Putin,,Finland,,1.9.2001,,President Vladimir Putin's interviews with the Finnish newspaper Helsingin Sanomat and Finnish TV channel Yleisradio were published. Mr Putin gave them ahead of his official visit to Finland scheduled for September 2â3,,,http://en.kremlin.ru/events/president/trips/45667,2001
338,21,FIN,Finland,2005,0,,0.00,0,0.85,5.0407,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,0,0.800,1,1,0,896,151,5491218,Europe,Finland,FIN,224137,626,Russia,Putin,,Finland,,1.8.2005,,Vladimir Putin held a meeting with President of Finland Tarja Halonen,,,http://en.kremlin.ru/events/president/trips/45561,2005
339,21,FIN,Finland,2006,0,,0.00,0,0.76,4.509,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.300,1,0,0,894,151,5491218,Europe,Finland,FIN,224137,596,Russia,Putin,,Finland,,23.11.2006,,"In the Finnish capital, Helsinki, the Russia-Finland summit talks were held",,,http://en.kremlin.ru/events/president/trips/45604,2006
342,21,FIN,Finland,2009,0,,0.00,0,0.69,4.1441,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.600,1,0,0,892,151,5491218,Europe,Finland,FIN,224137,532,Russia,Dmitry Medvedev,,Finland,,20.4.2009,,Russian-Finnish talks have taken place in Helsinki,,,http://en.kremlin.ru/events/president/trips/4576,2009
343,21,FIN,Finland,2010,0,,0.00,0,0.75,4.432,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,0,1.700,1,0,0,891,151,5491218,Europe,Finland,FIN,224137,487,Russia,Dmitry Medvedev,,Finland,,20.7.2010,,Meeting with President of Finland Tarja Halonen,,,http://en.kremlin.ru/events/president/trips/8397,2010
346,21,FIN,Finland,2013,0,,0.00,0,0.73,4.3149,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Prior to 1860 Russian monies, 1860-1998 markka; 1999-present, euro",FINMAR$,Primary source is GFD market eop; alt1 series is GFD-RR-IFS eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop.,0,,0,0,,0,0,2.200,1,0,0,890,151,5491218,Europe,Finland,FIN,224137,422,Russia,Putin,,Finland,,25.6.2013,,Meeting with President of Finland Sauli NiinistÃ¶,,,http://en.kremlin.ru/events/president/trips/18409,2013
