,pop_est,continent,name,iso_a3,gdp_md_est
0,920938,Oceania,Fiji,FJI,8374
1,53950935,Africa,Tanzania,TZA,150600
2,603253,Africa,W. Sahara,ESH,906.5
3,35623680,North America,Canada,CAN,1674000
4,326625791,North America,United States of America,USA,18560000
5,18556698,Asia,Kazakhstan,KAZ,460700
6,29748859,Asia,Uzbekistan,UZB,202300
7,6909701,Oceania,Papua New Guinea,PNG,28020
8,260580739,Asia,Indonesia,IDN,3028000
9,44293293,South America,Argentina,ARG,879400
10,17789267,South America,Chile,CHL,436100
11,83301151,Africa,Dem. Rep. Congo,COD,66010
12,7531386,Africa,Somalia,SOM,4719
13,47615739,Africa,Kenya,KEN,152700
14,37345935,Africa,Sudan,SDN,176300
15,12075985,Africa,Chad,TCD,30590
16,10646714,North America,Haiti,HTI,19340
17,10734247,North America,Dominican Rep.,DOM,161900
18,142257519,Europe,Russia,RUS,3745000
19,329988,North America,Bahamas,BHS,9066
20,2931,South America,Falkland Is.,FLK,281.8
21,5320045,Europe,Norway,-99,364700
22,57713,North America,Greenland,GRL,2173
23,140,Seven seas (open ocean),Fr. S. Antarctic Lands,ATF,16
24,1291358,Asia,Timor-Leste,TLS,4975
25,54841552,Africa,South Africa,ZAF,739100
26,1958042,Africa,Lesotho,LSO,6019
27,124574795,North America,Mexico,MEX,2307000
28,3360148,South America,Uruguay,URY,73250
29,207353391,South America,Brazil,BRA,3081000
30,11138234,South America,Bolivia,BOL,78350
31,31036656,South America,Peru,PER,410400
32,47698524,South America,Colombia,COL,688000
33,3753142,North America,Panama,PAN,93120
34,4930258,North America,Costa Rica,CRI,79260
35,6025951,North America,Nicaragua,NIC,33550
36,9038741,North America,Honduras,HND,43190
37,6172011,North America,El Salvador,SLV,54790
38,15460732,North America,Guatemala,GTM,131800
39,360346,North America,Belize,BLZ,3088
40,31304016,South America,Venezuela,VEN,468600
41,737718,South America,Guyana,GUY,6093
42,591919,South America,Suriname,SUR,8547
43,67106161,Europe,France,-99,2699000
44,16290913,South America,Ecuador,ECU,182400
45,3351827,North America,Puerto Rico,PRI,131000
46,2990561,North America,Jamaica,JAM,25390
47,11147407,North America,Cuba,CUB,132900
48,13805084,Africa,Zimbabwe,ZWE,28330
49,2214858,Africa,Botswana,BWA,35900
50,2484780,Africa,Namibia,NAM,25990
51,14668522,Africa,Senegal,SEN,39720
52,17885245,Africa,Mali,MLI,38090
53,3758571,Africa,Mauritania,MRT,16710
54,11038805,Africa,Benin,BEN,24310
55,19245344,Africa,Niger,NER,20150
56,190632261,Africa,Nigeria,NGA,1089000
57,24994885,Africa,Cameroon,CMR,77240
58,7965055,Africa,Togo,TGO,11610
59,27499924,Africa,Ghana,GHA,120800
60,24184810,Africa,C̫te d'Ivoire,CIV,87120
61,12413867,Africa,Guinea,GIN,16080
62,1792338,Africa,Guinea-Bissau,GNB,2851
63,4689021,Africa,Liberia,LBR,3881
64,6163195,Africa,Sierra Leone,SLE,10640
65,20107509,Africa,Burkina Faso,BFA,32990
66,5625118,Africa,Central African Rep.,CAF,3206
67,4954674,Africa,Congo,COG,30270
68,1772255,Africa,Gabon,GAB,35980
69,778358,Africa,Eq. Guinea,GNQ,31770
70,15972000,Africa,Zambia,ZMB,65170
71,19196246,Africa,Malawi,MWI,21200
72,26573706,Africa,Mozambique,MOZ,35010
73,1467152,Africa,eSwatini,SWZ,11060
74,29310273,Africa,Angola,AGO,189000
75,11466756,Africa,Burundi,BDI,7892
76,8299706,Asia,Israel,ISR,297000
77,6229794,Asia,Lebanon,LBN,85160
78,25054161,Africa,Madagascar,MDG,36860
79,4543126,Asia,Palestine,PSE,21220.77
80,2051363,Africa,Gambia,GMB,3387
81,11403800,Africa,Tunisia,TUN,130800
82,40969443,Africa,Algeria,DZA,609400
83,10248069,Asia,Jordan,JOR,86190
84,6072475,Asia,United Arab Emirates,ARE,667200
85,2314307,Asia,Qatar,QAT,334500
86,2875422,Asia,Kuwait,KWT,301100
87,39192111,Asia,Iraq,IRQ,596700
88,3424386,Asia,Oman,OMN,173100
89,282814,Oceania,Vanuatu,VUT,723
90,16204486,Asia,Cambodia,KHM,58940
91,68414135,Asia,Thailand,THA,1161000
92,7126706,Asia,Laos,LAO,40960
93,55123814,Asia,Myanmar,MMR,311100
94,96160163,Asia,Vietnam,VNM,594900
95,25248140,Asia,North Korea,PRK,40000
96,51181299,Asia,South Korea,KOR,1929000
97,3068243,Asia,Mongolia,MNG,37000
98,1281935911,Asia,India,IND,8721000
99,157826578,Asia,Bangladesh,BGD,628400
100,758288,Asia,Bhutan,BTN,6432
101,29384297,Asia,Nepal,NPL,71520
102,204924861,Asia,Pakistan,PAK,988200
103,34124811,Asia,Afghanistan,AFG,64080
104,8468555,Asia,Tajikistan,TJK,25810
105,5789122,Asia,Kyrgyzstan,KGZ,21010
106,5351277,Asia,Turkmenistan,TKM,94720
107,82021564,Asia,Iran,IRN,1459000
108,18028549,Asia,Syria,SYR,50280
109,3045191,Asia,Armenia,ARM,26300
110,9960487,Europe,Sweden,SWE,498100
111,9549747,Europe,Belarus,BLR,165400
112,44033874,Europe,Ukraine,UKR,352600
113,38476269,Europe,Poland,POL,1052000
114,8754413,Europe,Austria,AUT,416600
115,9850845,Europe,Hungary,HUN,267600
116,3474121,Europe,Moldova,MDA,18540
117,21529967,Europe,Romania,ROU,441000
118,2823859,Europe,Lithuania,LTU,85620
119,1944643,Europe,Latvia,LVA,50650
120,1251581,Europe,Estonia,EST,38700
121,80594017,Europe,Germany,DEU,3979000
122,7101510,Europe,Bulgaria,BGR,143100
123,10768477,Europe,Greece,GRC,290500
124,80845215,Asia,Turkey,TUR,1670000
125,3047987,Europe,Albania,ALB,33900
126,4292095,Europe,Croatia,HRV,94240
127,8236303,Europe,Switzerland,CHE,496300
128,594130,Europe,Luxembourg,LUX,58740
129,11491346,Europe,Belgium,BEL,508600
130,17084719,Europe,Netherlands,NLD,870800
131,10839514,Europe,Portugal,PRT,297100
132,48958159,Europe,Spain,ESP,1690000
133,5011102,Europe,Ireland,IRL,322000
134,279070,Oceania,New Caledonia,NCL,10770
135,647581,Oceania,Solomon Is.,SLB,1198
136,4510327,Oceania,New Zealand,NZL,174800
137,23232413,Oceania,Australia,AUS,1189000
138,22409381,Asia,Sri Lanka,LKA,236700
139,1379302771,Asia,China,CHN,21140000
140,23508428,Asia,Taiwan,TWN,1127000
141,62137802,Europe,Italy,ITA,2221000
142,5605948,Europe,Denmark,DNK,264800
143,64769452,Europe,United Kingdom,GBR,2788000
144,339747,Europe,Iceland,ISL,16150
145,9961396,Asia,Azerbaijan,AZE,167900
146,4926330,Asia,Georgia,GEO,37270
147,104256076,Asia,Philippines,PHL,801900
148,31381992,Asia,Malaysia,MYS,863000
149,443593,Asia,Brunei,BRN,33730
150,1972126,Europe,Slovenia,SVN,68350
151,5491218,Europe,Finland,FIN,224137
152,5445829,Europe,Slovakia,SVK,168800
153,10674723,Europe,Czechia,CZE,350900
154,5918919,Africa,Eritrea,ERI,9169
155,126451398,Asia,Japan,JPN,4932000
156,6943739,South America,Paraguay,PRY,64670
157,28036829,Asia,Yemen,YEM,73450
158,28571770,Asia,Saudi Arabia,SAU,1731000
159,4050,Antarctica,Antarctica,ATA,810
160,265100,Asia,N. Cyprus,-99,3600
161,1221549,Asia,Cyprus,CYP,29260
162,33986655,Africa,Morocco,MAR,282800
163,97041072,Africa,Egypt,EGY,1105000
164,6653210,Africa,Libya,LBY,90890
165,105350020,Africa,Ethiopia,ETH,174700
166,865267,Africa,Djibouti,DJI,3345
167,3500000,Africa,Somaliland,-99,12250
168,39570125,Africa,Uganda,UGA,84930
169,11901484,Africa,Rwanda,RWA,21970
170,3856181,Europe,Bosnia and Herz.,BIH,42530
171,2103721,Europe,Macedonia,MKD,29520
172,7111024,Europe,Serbia,SRB,101800
173,642550,Europe,Montenegro,MNE,10610
174,1895250,Europe,Kosovo,-99,18490
175,1218208,North America,Trinidad and Tobago,TTO,43570
176,13026129,Africa,S. Sudan,SSD,20880
,,Asia,Bahrain,,
,,Asia,Maldives,,
,,Europe,Malta,,
,,Africa,Mauritius,,
,,North America,Panama,,
,,Africa,Seychelles,,
,,Asia,Singapore,,
,,Europe,Vatican City,,
